page,source_layer,parse_note,player,handedness,team,pitcher,game,weak_slots,lineup_slot,pull_pct,sweet_spot_pct,barrel_pct,hard_hit_pct,dmg,hr_pa,hpi,pitch_edge,hr_alert,tags,effort,_metric_count,ingestion_confidence,needs_recovery
1,startool_sequential_parser,rank_player_card_block,JJ Wetherholt,L,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,8.0,23.0,30.3,7.0135,20.0,1.079,2.9,36.0,10.0,True,"Platoon, Rakes RHP, Weak Slot, ALERT",25.0,8,1.0,False
2,startool_sequential_parser,rank_player_card_block,Iván Herrera,R,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,,19.0,17.1,9.1325,28.6,1.405,3.0,46.0,5.0,True,ALERT,25.0,8,1.0,False
2,startool_sequential_parser,rank_player_card_block,Alec Burleson,L,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,6.0,20.0,21.9,10.3675,34.85,1.595,3.2,41.0,8.0,True,"Platoon, Rakes RHP, Weak Slot, ALERT",33.0,8,1.0,False
2,startool_sequential_parser,rank_player_card_block,Jordan Walker,R,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,2.0,33.0,14.3,12.3695,25.0,1.903,4.8,61.0,7.0,True,"Laser, ALERT",37.0,8,1.0,False
3,startool_sequential_parser,rank_player_card_block,Masyn Winn,R,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,,25.0,25.0,6.1945,0.0,0.953,0.0,27.0,-14.0,False,WARM,11.0,8,1.0,False
3,startool_sequential_parser,rank_player_card_block,Yohel Pozo,R,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,,3.0,31.6,10.075000000000001,0.0,1.55,0.0,28.0,33.0,False,"Weak Slot, COLD",,8,1.0,False
3,startool_sequential_parser,rank_player_card_block,Pedro Pagés,R,St. Louis Cardinals,Chris Paddack,St. Louis Cardinals vs Chris Paddack,,,24.0,11.1,7.202000000000001,18.2,1.108,3.4,29.0,-14.0,False,"Platoon, Rakes RHP, HOT",24.0,8,1.0,False
4,startool_sequential_parser,rank_player_card_block,TJ Friedl,L,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,,23.0,34.3,5.629,25.0,0.866,1.8,25.0,-22.0,False,"Platoon, WARM",19.0,8,1.0,False
4,startool_sequential_parser,rank_player_card_block,Elly De La Cruz,,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,8.0,21.0,23.3,9.464,6.7,1.456,1.5,49.0,16.0,True,"Rakes RHP, Laser, ALERT",40.0,8,1.0,False
4,startool_sequential_parser,rank_player_card_block,Sal Stewart,R,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,6.0,21.0,18.900000000000002,9.4055,25.0,1.447,4.5,39.0,48.0,True,ALERT,,8,1.0,False
5,startool_sequential_parser,rank_player_card_block,JJ Bleday,L,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,2.0,21.0,22.9,11.843,45.05,1.822,4.5,53.0,33.0,True,"Platoon, Weak Slot, ALERT",35.0,8,1.0,False
5,startool_sequential_parser,rank_player_card_block,Nathaniel Lowe,L,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,,19.0,28.6,10.4065,20.0,1.601,1.8,44.0,-13.0,False,"Platoon, Weak Slot, Laser, HOT",45.0,8,1.0,False
5,startool_sequential_parser,rank_player_card_block,Spencer Steer,R,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,,27.0,28.2,8.4305,28.9,1.297,3.0,34.0,6.0,True,"Weak Slot, ALERT",27.0,8,1.0,False
6,startool_sequential_parser,rank_player_card_block,Matt McLain,R,Cincinnati Reds,Andre Pallante,Cincinnati Reds vs Andre Pallante,,4.0,23.0,20.7,8.58,26.349999999999998,1.32,4.8,31.0,-9.0,True,ALERT,18.0,8,1.0,False
